time,open,high,low,close,volume
2019.07.01 16:30,1394.2,1394.8,1391.8,1394.2,1071
2019.07.01 17:00,1394.3,1394.4,1391,1391.1,691
2019.07.01 17:30,1391,1393.4,1388.4,1392.9,1560
2019.07.01 18:00,1393,1396.1,1392.2,1394.5,1136
2019.07.01 18:30,1394.6,1395.3,1390.8,1391.3,1255
2019.07.01 19:00,1391.4,1391.4,1387.4,1389,858
2019.07.01 19:30,1388.9,1391.5,1388,1390.6,530
2019.07.01 20:00,1390.7,1391.1,1385.2,1386.2,665
2019.07.01 20:30,1386.1,1387.7,1385.5,1385.7,701
2019.07.01 21:00,1385.8,1386.3,1385,1385.7,543
2019.07.01 21:30,1385.6,1386.4,1385.3,1385.8,297
2019.07.01 22:00,1385.9,1385.9,1383.5,1383.7,483
2019.07.01 22:30,1383.8,1385.4,1383.7,1384.6,306
2019.07.01 23:00,1384.7,1385.6,1383.6,1384.2,455
2019.07.01 23:30,1384.1,1384.2,1382.7,1383,241
2019.07.02 00:00,1383.1,1383.6,1382.6,1383.5,124
2019.07.02 01:30,1384.6,1388.3,1384.1,1388.1,260
2019.07.02 02:00,1388,1388.3,1386.4,1386.8,404
2019.07.02 02:30,1386.9,1388.3,1385.5,1386,346
2019.07.02 03:00,1386.1,1386.4,1384.5,1385.2,288
2019.07.02 03:30,1385.1,1386.3,1383.6,1384.8,520
2019.07.02 04:00,1384.9,1386.3,1384.9,1385.9,330
2019.07.02 04:30,1386,1390.8,1386,1390.4,978
2019.07.02 05:00,1390.3,1390.8,1389.4,1389.9,497
2019.07.02 05:30,1389.8,1391.2,1389.4,1389.8,365
2019.07.02 06:00,1389.7,1390.2,1388.1,1388.8,357
2019.07.02 06:30,1388.7,1389.5,1388.6,1389.2,171
2019.07.02 07:00,1389.1,1389.2,1388.2,1388.2,160
2019.07.02 07:30,1388.3,1389.6,1388.3,1389.3,167
2019.07.02 08:00,1389.4,1390.6,1389.4,1390.4,250
2019.07.02 08:30,1390.3,1392.8,1390.3,1391.3,405
2019.07.02 09:00,1391.4,1393,1390.9,1391.3,426
2019.07.02 09:30,1391.2,1391.5,1388.8,1390.1,508
2019.07.02 10:00,1390.2,1391.3,1389.5,1391,375
2019.07.02 10:30,1390.9,1392.8,1390.8,1392,646
2019.07.02 11:00,1391.9,1393.6,1391.7,1392.3,614
2019.07.02 11:30,1392.2,1393.6,1391.8,1392.1,424
2019.07.02 12:00,1392.2,1394.2,1392.2,1393.3,385
2019.07.02 12:30,1393.2,1393.5,1392.3,1392.7,383
2019.07.02 13:00,1392.6,1393.5,1392,1392.6,548
2019.07.02 13:30,1392.7,1393.4,1392,1392.6,520
2019.07.02 14:00,1392.5,1392.7,1391.3,1392.2,360
2019.07.02 14:30,1392.1,1392.7,1391.6,1391.7,283
2019.07.02 15:00,1391.6,1394.2,1390.9,1392.5,557
2019.07.02 15:30,1392.6,1393.1,1390.4,1390.8,872
2019.07.02 16:00,1390.7,1393,1389.6,1391.2,1061
2019.07.02 16:30,1391.1,1391.8,1389.7,1391.4,822
2019.07.02 17:00,1391.5,1394.5,1391,1392.5,1076
2019.07.02 17:30,1392.6,1392.7,1390,1391.7,888
2019.07.02 18:00,1391.6,1395.2,1391.6,1393.7,818
2019.07.02 18:30,1393.8,1400.2,1393.5,1398.9,1582
2019.07.02 19:00,1399,1404.2,1398.5,1403.4,1474
2019.07.02 19:30,1403.3,1406.6,1403.3,1405.9,1155
2019.07.02 20:00,1406,1407.5,1403.6,1404.8,1088
2019.07.02 20:30,1404.7,1405.4,1402.9,1404.7,649
2019.07.02 21:00,1404.6,1406.5,1404.6,1404.8,548
2019.07.02 21:30,1404.7,1407.4,1404.6,1407.4,478
2019.07.02 22:00,1407.3,1408.9,1406.1,1408.2,495
2019.07.02 22:30,1408.1,1416,1407.6,1412.5,1002
2019.07.02 23:00,1412.6,1414.5,1412.1,1413.1,582
2019.07.02 23:30,1413.2,1414.1,1412.7,1413.8,372
2019.07.03 00:00,1413.9,1420.7,1413.9,1417.8,631
2019.07.03 01:30,1423.1,1436,1421.9,1427.1,1609
2019.07.03 02:00,1427.2,1432.3,1423.3,1426.5,1384
2019.07.03 02:30,1426.6,1427.9,1424.4,1426.1,722
2019.07.03 03:00,1426.2,1432.1,1426,1431.1,1154
2019.07.03 03:30,1431,1432,1426.3,1430.4,1215
2019.07.03 04:00,1430.3,1435.3,1429.7,1434.3,1099
2019.07.03 04:30,1434.2,1437.5,1432.1,1434.5,1736
2019.07.03 05:00,1434.6,1434.7,1426.4,1428.2,1432
2019.07.03 05:30,1428.3,1428.6,1424.3,1426.3,1361
2019.07.03 06:00,1426.2,1427.5,1421.1,1423.2,1191
2019.07.03 06:30,1423.1,1425.5,1421.5,1425.2,939
2019.07.03 07:00,1425.1,1425.4,1423.5,1423.8,346
2019.07.03 07:30,1423.9,1428.5,1423.5,1427.2,625
2019.07.03 08:00,1427.1,1427.6,1426.5,1426.6,266
2019.07.03 08:30,1426.5,1428.3,1424.2,1424.9,737
2019.07.03 09:00,1424.7,1426.8,1422.1,1425.8,1149
2019.07.03 09:30,1425.6,1427.7,1424.1,1425.1,1082
2019.07.03 10:00,1425,1426.3,1423.8,1425.1,759
2019.07.03 10:30,1425,1426.5,1423.5,1423.9,740
2019.07.03 11:00,1423.8,1426,1423.8,1424.5,580
2019.07.03 11:30,1424.4,1424.6,1422.1,1422.9,581
2019.07.03 12:00,1423,1425.1,1422.7,1424.7,459
2019.07.03 12:30,1424.6,1425.3,1423.8,1424.9,273
2019.07.03 13:00,1424.8,1426,1424.6,1424.7,397
2019.07.03 13:30,1424.8,1425.7,1424.3,1424.8,266
2019.07.03 14:00,1424.7,1426.1,1424.7,1425.8,288
2019.07.03 14:30,1425.9,1425.9,1422.3,1422.7,665
2019.07.03 15:00,1422.6,1423.2,1417.4,1419.1,1185
2019.07.03 15:30,1418.9,1422.3,1414.7,1420.9,2246
2019.07.03 16:00,1421,1421.1,1416.6,1417.7,1609
2019.07.03 16:30,1417.6,1418.3,1414.5,1415.6,1681
2019.07.03 17:00,1415.5,1415.8,1411.8,1414.5,1732
2019.07.03 17:30,1414.6,1420.9,1413,1419.8,2186
2019.07.03 18:00,1419.7,1420.4,1416.3,1418.5,1258
2019.07.03 18:30,1418.6,1420.6,1418,1418.6,1097
2019.07.03 19:00,1418.5,1419.3,1414.7,1417.5,1031
2019.07.03 19:30,1417.6,1417.7,1414.9,1416.2,531
2019.07.03 20:00,1416.3,1417.4,1415.9,1416.1,363
2019.07.03 20:30,1416.2,1418.3,1416,1417.5,389
2019.07.03 21:00,1417.4,1418,1416,1417.7,225
2019.07.03 21:30,1417.8,1418.3,1416.7,1418,203
2019.07.03 22:00,1418.1,1419,1417.7,1418.1,113
2019.07.03 22:30,1418,1418.2,1417.8,1417.8,62
2019.07.03 23:00,1417.7,1418,1417,1417.6,109
2019.07.03 23:30,1417.7,1418.9,1417.4,1418.6,110
2019.07.04 00:00,1418.7,1419,1418.1,1418.2,103
2019.07.04 01:30,1420.3,1420.5,1415.9,1416.8,273
2019.07.04 02:00,1416.9,1416.9,1414.7,1416.4,288
2019.07.04 02:30,1416.5,1417.2,1415.3,1416.8,307
2019.07.04 03:00,1416.9,1418.4,1416.4,1418.2,292
2019.07.04 03:30,1418.3,1420.3,1418.1,1418.4,525
2019.07.04 04:00,1418.3,1418.8,1416.1,1417.1,394
2019.07.04 04:30,1417.2,1419.6,1416.5,1418.6,622
2019.07.04 05:00,1418.5,1421.4,1418.5,1420.4,539
2019.07.04 05:30,1420.5,1420.9,1419.7,1420,322
2019.07.04 06:00,1419.9,1420.1,1418.3,1419.3,323
2019.07.04 06:30,1419.4,1420.8,1419.3,1419.7,362
2019.07.04 07:00,1419.6,1419.7,1418.6,1418.9,160
2019.07.04 07:30,1418.8,1419.3,1418.3,1418.9,94
2019.07.04 08:00,1419,1419.3,1418.4,1418.8,123
2019.07.04 08:30,1418.7,1419.2,1418.5,1419,118
2019.07.04 09:00,1419.1,1419.4,1413.5,1416.1,1122
2019.07.04 09:30,1416,1416.4,1412.8,1414.2,957
2019.07.04 10:00,1414.1,1414.8,1412.7,1413.9,523
2019.07.04 10:30,1413.8,1414.3,1413,1414,227
2019.07.04 11:00,1413.9,1414.4,1410,1410.9,454
2019.07.04 11:30,1410.8,1413.5,1410.8,1413,535
2019.07.04 12:00,1413.1,1413.5,1411.5,1411.8,329
2019.07.04 12:30,1411.9,1415.9,1411.8,1414.9,596
2019.07.04 13:00,1414.8,1415.4,1414.4,1414.9,278
2019.07.04 13:30,1414.8,1414.9,1413.6,1414.7,271
2019.07.04 14:00,1414.6,1415.7,1414.1,1414.4,214
2019.07.04 14:30,1414.5,1415,1413.3,1414.4,228
2019.07.04 15:00,1414.3,1414.5,1413.8,1414.3,187
2019.07.04 15:30,1414.4,1414.8,1413.2,1413.8,274
2019.07.04 16:00,1413.7,1414.7,1412.5,1413.6,383
2019.07.04 16:30,1413.7,1415.2,1413.2,1414.6,627
2019.07.04 17:00,1414.5,1415.3,1414,1414.8,330
2019.07.04 17:30,1414.9,1417.2,1413.7,1416.8,574
2019.07.04 18:00,1416.9,1417,1415.6,1416.2,311
2019.07.04 18:30,1416.3,1416.4,1414.2,1415,445
2019.07.04 19:00,1414.9,1416.1,1414.6,1415.4,261
2019.07.04 19:30,1415.5,1416,1415.1,1415.6,155
